"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"C4A",-0.324239462858087,0.324239462858086,0.74981582225342,0.749815822253421,0.921773438957594,0.921773438957594,-0.0598999885999907,0.0598999885999906,"ENSG00000244731","C4A"
"CABP1",2.4284596070569,-2.4284596070569,0.0268773174356745,0.0268773174356745,0.416706973730861,0.416706973730862,0.230798828151994,-0.230798828151994,"ENSG00000157782","CABP1"
"CACNA1C",1.24690832146858,-1.24690832146858,0.22977785023021,0.22977785023021,0.749216482183815,0.749216482183814,0.105834718225625,-0.105834718225625,"ENSG00000151067","CACNA1C"
"CALB1",-1.05851078818733,1.05851078818733,0.305017723844066,0.305017723844066,0.800139615780116,0.800139615780117,-0.142527585806999,0.142527585806999,"ENSG00000104327","CALB1"
"CALB2",-3.24436014286982,3.24436014286982,0.00490014603114241,0.00490014603114241,0.404015509595446,0.404015509595447,-0.511333824708214,0.511333824708214,"ENSG00000172137","CALB2"
"CAMK2N1",1.30060179429575,-1.30060179429575,0.211201985721286,0.211201985721285,0.749216482183815,0.749216482183814,0.110546608145127,-0.110546608145127,"ENSG00000162545","CAMK2N1"
"CAPN3",0.236615657770621,-0.23661565777062,0.815856693991973,0.815856693991974,0.967419004733565,0.967419004733566,0.0297559570692267,-0.0297559570692267,"ENSG00000092529","CAPN3"
"CAPZB",0.334363878723223,-0.334363878723222,0.742301862782983,0.742301862782984,0.921773438957594,0.921773438957594,0.0328926327644681,-0.032892632764468,"ENSG00000077549","CAPZB"
"CARTPT",0.945548032602613,-0.945548032602613,0.357971117291826,0.357971117291826,0.800139615780116,0.800139615780117,0.251656411498559,-0.251656411498558,"ENSG00000164326","CARTPT"
"CASC3",0.759821193064089,-0.75982119306409,0.458041685953873,0.458041685953872,0.830402747903479,0.830402747903476,0.0569973488399517,-0.0569973488399518,"ENSG00000108349","CASC3"
"CCK",1.31237267802285,-1.31237267802285,0.207292404469369,0.207292404469369,0.749216482183815,0.749216482183814,0.178164637914937,-0.178164637914938,"ENSG00000187094","CCK"
"CCNI",0.749748630276269,-0.749748630276268,0.463924092062998,0.463924092062999,0.830402747903479,0.830402747903476,0.104889815087934,-0.104889815087934,"ENSG00000118816","CCNI"
